entry_time,exit_time,position,entry_price,exit_price,size,pnl,exit_reason,bars_held,market_conditions,daily_pnl,trades_today,balance
2025-06-03 19:45:00,2025-06-03 20:15:00,BUY,3348.55,3353.27,0.01,47.2,take_profit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 3.8779500658354214e-08, 'scaled_prediction': 1.9389750329177107e-05}",94.4,1,77.2
2025-06-03 21:30:00,2025-06-03 22:00:00,BUY,3351.54,3354.37,0.01,28.3,take_profit,3,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 5.3412877674983516e-08, 'scaled_prediction': 2.6706438837491758e-05}",56.6,2,105.5
2025-06-03 22:15:00,2025-06-04 01:00:00,BUY,3353.21,3356.32,0.01,31.1,take_profit,13,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 1.7500678947200268e-07, 'scaled_prediction': 8.750339473600134e-05}",62.2,3,136.6
2025-06-04 01:15:00,2025-06-04 02:00:00,BUY,3357.53,3360.21,0.01,26.8,take_profit,5,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 1.1575485416579568e-07, 'scaled_prediction': 5.7877427082897844e-05}",53.6,4,163.4
2025-06-04 02:15:00,2025-06-04 03:00:00,BUY,3358.46,3354.03,0.01,-19.608,daily_loss_limit,5,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.0631680670386507e-07, 'scaled_prediction': 0.00010315840335193253}",-63.908,5,143.792
2025-06-04 03:00:00,2025-06-04 03:15:00,BUY,3354.03,3357.25,0.01,32.2,take_profit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 2.6391798743765435e-07, 'scaled_prediction': 0.00013195899371882717}",64.4,6,175.99200000000002
2025-06-04 04:00:00,2025-06-04 04:15:00,BUY,3357.9,3363.47,0.01,55.7,take_profit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 3.786564033699673e-08, 'scaled_prediction': 1.8932820168498364e-05}",111.4,7,231.692
2025-06-04 04:30:00,2025-06-04 04:45:00,BUY,3367.08,3370.8,0.01,37.2,take_profit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 6.276615763058134e-08, 'scaled_prediction': 3.1383078815290666e-05}",74.4,8,268.892
2025-06-04 05:00:00,2025-06-04 05:15:00,BUY,3372.16,3368.75,0.01,-32.26704,daily_loss_limit,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 1.103055108884011e-07, 'scaled_prediction': 5.515275544420055e-05}",-66.36704,9,236.62496
2025-06-04 05:15:00,2025-06-04 05:30:00,BUY,3368.75,3366.34,0.01,-24.1,stop_loss,1,"{'rsi_14': 53.278239841407064, 'adx': 11.498533705169242, 'trend_strength': 0.11498533705169242, 'volatility_ratio': 0.0014112598380760452, 'bb_width': 0.004162687401954372, 'prediction_confidence': 0.6, 'prediction_stability': 0.6, 'market_score': 5, 'raw_prediction': 3.435385598890062e-08, 'scaled_prediction': 1.717692799445031e-05}",-48.2,10,212.52496
